tiempo,led_verde,led_rojo,val_x,val_y
5.370005965232849e-05,1,0.002738703042268753,504,0
0.56360900006257,1,28.74405900319107,1022,148
0.6297606001608074,1,32.117790608201176,1023,1023
0.7025801001582295,1,35.8315851080697,505,1022
0.7701393000315875,1,39.27710430161096,173,523
0.8390043000690639,1,42.78921930352226,753,0
0.9031143002212048,1,46.05882931128144,1022,252
0.9704272001981735,1,49.49178721010685,1023,1023
1.0406874001491815,1,53.075057407608256,437,1023
1.1124725001864135,1,56.73609750950709,0,523
1.1763623000588268,1,59.99447730300017,505,523
1.24238510010764,1,63.36164010548964,505,523
1.3098365000914782,1,66.80166150466539,505,523
1.3770426001865417,1,70.22917260951363,505,523
1.4459482000675052,1,73.74335820344277,505,523
1.5159370000474155,1,77.31278700241819,505,523
1.586318600224331,1,80.90224861144088,505,523
1.6540604000911117,1,84.3570804046467,505,523
1.7197045001666993,1,87.70492950850166,505,523
1.787553100148216,1,91.16520810755901,505,523
1.8551971002016217,1,94.6150521102827,505,523
1.9209261999931186,1,97.96723619964905,505,523
1.9887034001294523,1,101.42387340660207,505,523
2.05830750009045,1,104.97368250461295,505,523
2.1277585001662374,1,108.5156835084781,505,523
2.1968077002093196,1,112.0371927106753,505,523
2.2651494001038373,1,115.5226194052957,505,523
2.3329500001855195,1,118.98045000946149,505,523
2.402583100134507,1,122.53173810685985,505,523
2.4717684001661837,1,126.06018840847537,505,523
2.541182800196111,1,129.60032281000167,505,523
2.6112021000590175,1,133.1713071030099,505,523
2.6785595000255853,1,136.60653450130485,505,523
2.748765900032595,1,140.18706090166233,505,523
2.819340700050816,1,143.7863757025916,505,523
2.8867745001334697,1,147.22549950680695,505,523
2.9562331000342965,1,150.76788810174912,505,523
3.0262258001603186,1,154.33751580817625,505,523
3.097371900221333,1,157.96596691128798,505,523
3.1686166001018137,1,161.5994466051925,505,523
3.2359711001627147,1,165.03452610829845,505,523
3.3063794001936913,1,168.62534940987825,505,523
3.3761564001906663,1,172.18397640972398,505,523
3.4462165001314133,1,175.75704150670208,505,523
3.515608200104907,1,179.29601820535026,505,523
3.585047700209543,1,182.8374327106867,505,523
3.6534287000540644,1,186.32486370275728,505,523
3.7228694001678377,1,189.86633940855972,505,523
3.7937386000994593,1,193.48066860507242,505,523
3.8652349000331014,1,197.12697990168817,505,523
3.9374991001095623,1,200.81245410558768,505,523
4.008460100041702,1,204.43146510212682,505,523
4.078694600146264,1,208.01342460745946,505,523
4.148514700122178,1,211.57424970623106,505,523
4.218235900159925,1,215.1300309081562,505,523
4.2863863001111895,1,218.60570130567066,505,523
4.357800900004804,1,222.247845900245,505,523
4.424398700008169,1,225.6443337004166,505,523
4.491991800023243,1,229.09158180118538,505,523
4.5624358002096415,1,232.68422581069171,505,523
4.631891500204802,1,236.22646651044488,505,523
4.701388200046495,1,239.77079820237122,505,523
4.771820700028911,1,243.36285570147447,505,523
4.845794200198725,1,247.13550421013497,505,523
4.9161762001458555,1,250.72498620743863,505,523
4.986960200127214,1,254.33497020648792,505,523
